"","Pays","Sexe","Age","Taille"
"69","Belarus","Boys",14.2,165.7
"70","Belarus","Boys",8.5,133
"71","Belarus","Boys",15.7,171.9
"72","Belarus","Boys",15.6,176.5
"73","Belarus","Boys",16.5,177.4
"74","Belarus","Boys",16.6,176.9
"75","Belarus","Boys",9.6,137.1
"76","Belarus","Boys",8.5,136.8
"77","Belarus","Boys",16,173.4
"78","Belarus","Boys",13.5,163.5
"79","Belarus","Boys",8.5,134.2
"80","Belarus","Boys",16,174.7
"81","Belarus","Boys",5.4,118.5
"82","Belarus","Boys",9.8,144.3
"83","Belarus","Boys",8.3,134.6
"84","Belarus","Boys",18,172.4
"85","Belarus","Boys",6.3,122.7
"86","Belarus","Boys",15.9,173.8
"87","Belarus","Boys",9.2,135.8
"88","Belarus","Boys",14,166.3
"89","Belarus","Boys",12.3,157.4
"90","Belarus","Boys",10,144.1
"91","Belarus","Boys",7.6,128.4
"92","Belarus","Boys",6.8,127.1
"93","Belarus","Boys",16.8,177.9
"94","Belarus","Boys",11.1,148.1
"95","Belarus","Boys",14.8,167.4
"96","Belarus","Boys",10.1,141.9
"97","Belarus","Boys",9.6,132.9
"98","Belarus","Boys",17.9,177.4
"99","Belarus","Boys",9.9,141
"100","Belarus","Boys",8.6,139.3
"101","Belarus","Boys",6.3,124.3
"102","Belarus","Boys",11.7,148.9
"103","Belarus","Boys",11,149.5
"104","Belarus","Boys",6.4,121.1
"105","Belarus","Boys",5.4,114.8
"106","Belarus","Boys",18,172.5
"107","Belarus","Boys",12,160.4
"108","Belarus","Boys",12.8,160.8
"109","Belarus","Boys",12,154.8
"110","Belarus","Boys",18.8,182
"111","Belarus","Boys",8.8,136.6
"112","Belarus","Boys",13.9,171
"113","Belarus","Boys",6.6,128.2
"114","Belarus","Boys",17.2,178.3
"115","Belarus","Boys",11.3,147.6
"116","Belarus","Boys",15.7,169.6
"117","Belarus","Boys",13.5,159.6
"118","Belarus","Boys",11.2,144
"119","Belarus","Boys",18.7,183.1
"120","Belarus","Boys",18.8,177.1
"121","Belarus","Boys",18.8,175
"122","Belarus","Boys",15.2,169.3
"123","Belarus","Boys",15.1,168.7
"124","Belarus","Boys",14.4,169.8
"125","Belarus","Boys",8.9,136.1
"126","Belarus","Boys",7.5,129.3
"127","Belarus","Boys",15.8,177.3
"128","Belarus","Boys",9.5,141.9
"129","Belarus","Boys",6,120.3
"130","Belarus","Boys",7.7,132.9
"131","Belarus","Boys",13.6,164.6
"132","Belarus","Boys",9,133.8
"133","Belarus","Boys",9.1,136.2
"134","Belarus","Boys",7.4,127.2
"135","Belarus","Boys",13.8,168.1
"136","Belarus","Boys",11.9,149.6
"137","Belarus","Boys",8.7,140.8
"138","Belarus","Boys",5.9,121.8
"139","Belarus","Boys",9.8,142.5
"140","Belarus","Boys",17.8,180.4
"141","Belarus","Boys",11,147.2
"142","Belarus","Boys",18.2,171.5
"143","Belarus","Boys",17.2,176.5
"144","Belarus","Boys",11.7,147.7
"145","Belarus","Boys",18.6,172.5
"146","Belarus","Boys",16.5,176.6
"147","Belarus","Boys",11,144.6
"148","Belarus","Boys",17.2,174.2
"149","Belarus","Boys",13.4,158.1
"150","Belarus","Boys",18.7,176.2
"151","Belarus","Boys",17.7,176.9
"152","Belarus","Boys",5.9,120.6
"153","Belarus","Boys",10.3,140.8
"154","Belarus","Boys",12.6,154.9
"155","Belarus","Boys",9.9,137.2
"156","Belarus","Boys",13.8,161.3
"157","Belarus","Boys",9.4,138.7
"158","Belarus","Boys",17.9,176.7
"159","Belarus","Boys",12.7,158.9
"160","Belarus","Boys",9,136.4
"161","Belarus","Boys",7.9,132.1
"162","Belarus","Boys",10.8,147.2
"163","Belarus","Boys",5.4,115.2
"164","Belarus","Boys",8,135.1
"165","Belarus","Boys",10.9,143.3
"166","Belarus","Boys",18.3,178.1
"167","Belarus","Boys",17.1,173.7
"168","Belarus","Boys",11.3,152.5
"169","Belarus","Boys",15.9,174.1
"170","Belarus","Boys",9.9,139.3
"171","Belarus","Boys",6.5,123.8
"172","Belarus","Boys",14.4,164.3
"173","Belarus","Boys",7.2,125.8
"174","Belarus","Boys",7.2,130.1
"175","Belarus","Boys",9.4,139.1
"176","Belarus","Boys",18.2,174.4
"177","Belarus","Boys",6.7,122.8
"178","Belarus","Boys",8.1,131.7
"179","Belarus","Boys",14.7,161.7
"180","Belarus","Boys",6.8,127.2
"181","Belarus","Boys",15.1,174
"182","Belarus","Boys",5.9,120.9
"183","Belarus","Boys",12.2,155.3
"184","Belarus","Boys",8.3,133.3
"185","Belarus","Boys",9.4,133.8
"186","Belarus","Boys",14.6,167.3
"187","Belarus","Boys",18.5,173.6
"188","Belarus","Boys",11.6,150.5
"189","Belarus","Boys",12.5,162.1
"190","Belarus","Boys",8.8,139.1
"191","Belarus","Boys",18,170.3
"192","Belarus","Boys",11.8,154.4
"193","Belarus","Boys",19,179
"194","Belarus","Boys",8.9,138.1
"195","Belarus","Boys",12.5,156.4
"196","Belarus","Boys",14.4,167
"197","Belarus","Boys",5.3,122.3
"198","Belarus","Boys",7.7,132.2
"199","Belarus","Boys",12.8,156.9
"200","Belarus","Boys",13.9,164.6
"201","Belarus","Boys",13.7,160.7
"202","Belarus","Boys",11.9,149.3
"203","Belarus","Boys",12.6,154.6
"204","Belarus","Boys",14.3,165.3
"205","Belarus","Boys",5.4,117.6
"206","Belarus","Boys",14.9,170.6
"207","Belarus","Boys",17.8,172.5
"208","Belarus","Boys",7.8,129.8
"209","Belarus","Boys",7.2,129.6
"210","Belarus","Boys",18.1,169.6
"211","Belarus","Boys",18.9,173
"212","Belarus","Boys",10,139.7
"213","Belarus","Boys",5.6,119.6
"214","Belarus","Boys",19,177.2
"215","Belarus","Boys",7.3,128
"216","Belarus","Boys",16.7,176.9
"217","Belarus","Boys",13.6,168.8
"218","Belarus","Boys",6.9,126.9
"219","Belarus","Boys",10.1,142.8
"220","Belarus","Boys",17.8,180.1
"221","Belarus","Boys",8.7,137.6
"222","Belarus","Boys",17,174.4
"223","Belarus","Boys",7.4,130.6
"224","Belarus","Boys",14.3,170.5
"225","Belarus","Boys",8.9,136.9
"226","Belarus","Boys",14.3,166.5
"227","Belarus","Boys",8.3,134.6
"228","Belarus","Boys",14.9,171.2
"229","Belarus","Boys",16,180.6
"230","Belarus","Boys",5.8,118.3
"231","Belarus","Boys",9.3,138.8
"232","Belarus","Boys",7.5,130.1
"233","Belarus","Boys",9.6,139.5
"234","Belarus","Boys",12.4,153.1
"235","Belarus","Boys",12.5,163.7
"236","Belarus","Boys",7.6,130.5
"237","Belarus","Boys",13.3,160
"238","Belarus","Boys",9.9,142.5
"239","Belarus","Boys",12.6,158.8
"240","Belarus","Boys",6.8,130.2
"241","Belarus","Boys",14.8,169.8
"242","Belarus","Boys",12.6,151.1
"243","Belarus","Boys",5.5,118.7
"244","Belarus","Boys",16.5,173.6
"245","Belarus","Boys",6.2,123.8
"246","Belarus","Boys",11.5,149.5
"247","Belarus","Boys",13.3,161.3
"248","Belarus","Boys",11.7,149.8
"249","Belarus","Boys",8.5,135.2
"250","Belarus","Boys",6.5,128.2
"251","Belarus","Boys",10.7,150.1
"252","Belarus","Boys",9.6,142.1
"253","Belarus","Boys",14.1,166.8
"254","Belarus","Boys",11.5,150.6
"255","Belarus","Boys",11.3,152
"256","Belarus","Boys",13,161.6
"257","Belarus","Boys",5.5,119.5
"258","Belarus","Boys",14.4,173.8
"259","Belarus","Boys",10.6,148.6
"260","Belarus","Boys",10.3,147
"261","Belarus","Boys",18.8,171.4
"262","Belarus","Boys",11.7,153.6
"263","Belarus","Boys",8.9,133.5
"264","Belarus","Boys",16.5,174.7
"265","Belarus","Boys",15.6,175.1
"266","Belarus","Boys",17.6,177.5
"267","Belarus","Boys",17.9,175.5
"268","Belarus","Boys",9.2,140.9
"269","Belarus","Boys",9.7,144.5
"270","Belarus","Boys",14,166.7
"271","Belarus","Boys",12.1,152.4
"272","Belarus","Boys",7,127.8
"273","Belarus","Boys",9.5,140.8
"274","Belarus","Boys",19,177.9
"275","Belarus","Boys",13.6,156.7
"276","Belarus","Boys",11.3,143.1
"277","Belarus","Boys",8.5,134.2
"278","Belarus","Boys",17.7,177.1
"279","Belarus","Boys",16.8,175.7
"280","Belarus","Boys",18.9,178.5
"281","Belarus","Boys",16,176.5
"282","Belarus","Boys",15.5,174.7
"283","Belarus","Boys",17.4,171.2
"284","Belarus","Boys",14.5,171.4
"285","Belarus","Boys",14.5,164.3
"286","Belarus","Boys",16.7,167.4
"287","Belarus","Boys",5.5,120.9
"288","Belarus","Boys",18.4,178
"289","Belarus","Boys",18.3,180.5
"290","Belarus","Boys",15.5,176.7
"291","Belarus","Boys",9.8,145.2
"292","Belarus","Boys",11.5,155.3
"293","Belarus","Boys",18.2,176.9
"294","Belarus","Boys",15.2,171.1
"295","Belarus","Boys",12.2,153.2
"296","Belarus","Boys",15.2,168.5
"297","Belarus","Boys",17.3,175.3
"298","Belarus","Boys",5.8,122.2
"299","Belarus","Boys",15.8,173
"300","Belarus","Boys",16.9,177.5
"301","Belarus","Boys",13.4,158.8
"302","Belarus","Boys",12.3,152.5
"303","Belarus","Boys",9.2,140
"304","Belarus","Boys",15.4,179.3
"305","Belarus","Boys",16.5,172.6
"306","Belarus","Boys",14.8,173.6
"307","Belarus","Boys",15.2,176.8
"308","Belarus","Boys",18.3,169.7
"309","Belarus","Boys",11.1,155.1
"310","Belarus","Boys",11.6,145
"311","Belarus","Boys",6.4,125.6
"312","Belarus","Boys",11.3,145.7
"313","Belarus","Boys",8.6,130.8
"314","Belarus","Boys",18.1,169.8
"315","Belarus","Boys",12.5,161.7
"316","Belarus","Boys",11.2,150.5
"317","Belarus","Boys",10.6,144.6
"318","Belarus","Boys",18.8,180.3
"319","Belarus","Boys",13.3,163.8
"320","Belarus","Boys",18.6,171.7
"321","Belarus","Boys",12.3,153.4
"322","Belarus","Boys",10.5,151.3
"323","Belarus","Boys",9.1,138.2
"324","Belarus","Boys",18.3,177.6
"325","Belarus","Boys",6.2,123.7
"326","Belarus","Boys",16.7,176.3
"327","Belarus","Boys",12.2,160.8
"328","Belarus","Boys",5.2,118.5
"329","Belarus","Boys",6.8,129
"330","Belarus","Boys",11.2,153.5
"331","Belarus","Boys",13.2,159.3
"332","Belarus","Boys",13,163
"333","Belarus","Boys",15.6,175.2
"334","Belarus","Boys",16.9,170.3
"335","Belarus","Boys",8.4,133.3
"336","Belarus","Boys",13.1,166.5
"337","Belarus","Boys",15.6,178.7
"338","Belarus","Boys",13.8,163.9
"339","Belarus","Boys",9.7,139.8
"340","Belarus","Boys",9.1,137.5
"341","Belarus","Boys",8,130.8
"342","Belarus","Boys",11.1,148.9
"343","Belarus","Boys",14.7,174.3
"344","Belarus","Boys",17.9,174.4
"345","Belarus","Boys",9.3,139.7
"346","Belarus","Boys",12.9,158.2
"347","Belarus","Boys",10.1,140.5
"348","Belarus","Boys",10.6,148.6
"349","Belarus","Boys",11.3,147.9
"350","Belarus","Boys",9.2,135.5
"351","Belarus","Boys",9.9,139.9
"352","Belarus","Boys",7.1,126.8
"353","Belarus","Boys",14.7,170.1
"354","Belarus","Boys",12.6,160
"355","Belarus","Boys",8.9,138.6
"356","Belarus","Boys",12.6,158.4
"357","Belarus","Boys",16.8,175.5
"358","Belarus","Boys",14.6,167.8
"359","Belarus","Boys",5.8,121.5
"360","Belarus","Boys",12.2,159.1
"361","Belarus","Boys",9.8,147.3
"362","Belarus","Boys",5.8,122.5
"363","Belarus","Boys",13.1,161.3
"364","Belarus","Boys",9.6,138.8
"365","Belarus","Boys",13.5,165.6
"366","Belarus","Boys",7.6,133.9
"367","Belarus","Boys",18.4,180.7
"368","Belarus","Boys",17.8,185.6
"369","Belarus","Boys",13.5,165.1
"370","Belarus","Boys",13.9,161.1
"371","Belarus","Boys",18.2,183.4
"372","Belarus","Boys",6.5,123.4
"373","Belarus","Boys",12.9,163.6
"374","Belarus","Boys",10.2,145
"375","Belarus","Boys",16.1,177.2
"376","Belarus","Boys",5.2,114.7
"377","Belarus","Boys",5.4,120.9
"378","Belarus","Boys",14.6,172.1
"379","Belarus","Boys",6.5,128.6
"380","Belarus","Boys",16.9,176.7
"381","Belarus","Boys",12.2,164.8
"382","Belarus","Boys",11.9,155.2
"383","Belarus","Boys",15.3,175
"384","Belarus","Boys",7.9,133.9
"385","Belarus","Boys",14.1,165.3
"386","Belarus","Boys",18.3,176.9
"387","Belarus","Boys",5.3,118
"388","Belarus","Boys",18.1,175.6
"389","Belarus","Boys",6.4,121.6
"390","Belarus","Boys",15.9,171.7
"391","Belarus","Boys",11.1,146.3
"392","Belarus","Boys",5.7,119.3
"393","Belarus","Boys",11.9,154.4
"394","Belarus","Boys",16.4,177
"395","Belarus","Boys",17.5,173.2
"396","Belarus","Boys",6.5,124
"397","Belarus","Boys",8.8,137.4
"398","Belarus","Boys",16.2,172.8
"399","Belarus","Boys",18.5,171
"400","Belarus","Boys",7.8,130.3
"401","Belarus","Boys",13.8,164.6
"402","Belarus","Boys",10.8,147.5
"403","Belarus","Boys",8,129.6
"404","Belarus","Boys",5.9,123.7
"405","Belarus","Boys",7.7,134.1
"406","Belarus","Boys",8.1,136.4
"407","Belarus","Boys",16,172.5
"408","Belarus","Boys",7.7,129.2
"409","Belarus","Boys",15.8,171.5
"410","Belarus","Boys",8.7,134.5
"411","Belarus","Boys",17.2,175.4
"412","Belarus","Boys",14.7,170.1
"413","Belarus","Boys",18.6,171.9
"414","Belarus","Boys",12.3,155.7
"415","Belarus","Boys",14.1,168.6
"416","Belarus","Boys",11.9,155
"417","Belarus","Boys",10.1,137.9
"418","Belarus","Boys",15.1,169.3
"419","Belarus","Boys",16.8,181.5
"420","Belarus","Boys",7.7,135.6
"421","Belarus","Boys",13.8,162.5
"422","Belarus","Boys",18,175.4
"423","Belarus","Boys",18,179.3
"424","Belarus","Boys",7.8,129
"425","Belarus","Boys",8.9,136.9
"426","Belarus","Boys",10.5,145.1
"427","Belarus","Boys",18.7,174.1
"428","Belarus","Boys",7.4,128.8
"429","Belarus","Boys",8.5,130.9
"430","Belarus","Boys",11.2,149.1
"431","Belarus","Boys",12.8,155.7
"432","Belarus","Boys",9.8,140.9
"433","Belarus","Boys",16.1,175.6
"434","Belarus","Boys",18.2,177.5
"435","Belarus","Boys",17.6,179.6
"436","Belarus","Boys",11.4,144.8
"437","Belarus","Boys",13.9,163
"438","Belarus","Boys",14.2,170.3
"439","Belarus","Boys",12.1,152.4
"440","Belarus","Boys",14.4,168.2
"441","Belarus","Boys",10.1,138
"442","Belarus","Boys",5.7,120.8
"443","Belarus","Boys",13.2,165.5
"444","Belarus","Boys",10.7,148.2
"445","Belarus","Boys",8.9,139.4
"446","Belarus","Boys",5.6,120.6
"447","Belarus","Boys",5.1,114.5
"448","Belarus","Boys",12.3,158.5
"449","Belarus","Boys",6.8,127.5
"450","Belarus","Boys",8.5,134.2
"451","Belarus","Boys",18.4,184.2
"452","Belarus","Boys",14.9,175.9
"453","Belarus","Boys",18.3,170.4
"454","Belarus","Boys",18.5,177.6
"455","Belarus","Boys",12.7,157.4
"456","Belarus","Boys",6.5,123.9
"457","Belarus","Boys",5.6,124.1
"458","Belarus","Boys",9.6,137.7
"459","Belarus","Boys",10.2,139.6
"460","Belarus","Boys",11.7,149.5
"461","Belarus","Boys",16.8,175.6
"462","Belarus","Boys",12.2,155.8
"463","Belarus","Boys",6.9,128.6
"464","Belarus","Boys",14.6,164.9
"465","Belarus","Boys",16.6,175.2
"466","Belarus","Boys",9.4,140.5
"467","Belarus","Boys",17.2,173.8
"468","Belarus","Boys",5.9,123.2
"469","Belarus","Boys",8.2,136.1
"470","Belarus","Boys",14.5,172.8
"471","Belarus","Boys",8.7,134.1
"472","Belarus","Boys",7.5,130.7
"473","Belarus","Boys",12.9,159
"474","Belarus","Boys",6.9,128.6
"475","Belarus","Boys",13.5,166.6
"476","Belarus","Boys",6.6,122.7
"477","Belarus","Boys",17.7,174.4
"478","Belarus","Boys",10.1,144.9
"479","Belarus","Boys",12,153.3
"480","Belarus","Boys",15.3,178.2
"481","Belarus","Boys",11.3,147.5
"482","Belarus","Boys",11.7,152.1
"483","Belarus","Boys",13.6,163.6
"484","Belarus","Boys",8.7,136.2
"485","Belarus","Boys",6.6,128
"486","Belarus","Boys",7.8,129.4
"487","Belarus","Boys",5.9,122.2
"488","Belarus","Boys",17.1,179
"489","Belarus","Boys",6.6,125.6
"490","Belarus","Boys",7,126
"491","Belarus","Boys",7.7,131.1
"492","Belarus","Boys",11.4,149.6
"493","Belarus","Boys",9.6,137.4
"494","Belarus","Boys",15.3,172.2
"495","Belarus","Boys",18.1,179.8
"496","Belarus","Boys",14.4,167.4
"497","Belarus","Boys",18.3,172.6
"498","Belarus","Boys",8.3,132.2
"499","Belarus","Boys",17.9,172.2
"500","Belarus","Boys",15.6,170.5
"501","Belarus","Boys",17.8,176
"502","Belarus","Boys",6.6,121.8
"503","Belarus","Boys",16.2,174.3
"504","Belarus","Boys",9.3,135.5
"505","Belarus","Boys",15.5,170.5
"506","Belarus","Boys",12.1,154.7
"507","Belarus","Boys",5.3,118.9
"508","Belarus","Boys",5.5,117.1
"509","Belarus","Boys",11.9,151.1
"510","Belarus","Boys",18.9,166.8
"511","Belarus","Boys",13.6,163.9
"512","Belarus","Boys",8.1,131.5
"513","Belarus","Boys",9.8,140.2
"514","Belarus","Boys",16.8,175.6
"515","Belarus","Boys",6.4,123.8
"516","Belarus","Boys",15.6,174.6
"517","Belarus","Boys",13.6,160.2
"518","Belarus","Boys",13.7,162.1
"519","Belarus","Boys",17.5,183.1
"520","Belarus","Boys",5.6,118.8
"521","Belarus","Boys",8.4,134.5
"522","Belarus","Boys",15,169.3
"523","Belarus","Boys",18.1,178.8
"524","Belarus","Boys",13.4,160.8
"525","Belarus","Boys",6.1,119.9
"526","Belarus","Boys",17.3,179.2
"527","Belarus","Boys",12.8,158.6
"528","Belarus","Boys",11.5,150.7
"529","Belarus","Boys",13.2,155
"530","Belarus","Boys",9.6,138.2
"531","Belarus","Boys",16,172.8
"532","Belarus","Boys",8.9,136.5
"533","Belarus","Boys",18.9,179.4
"534","Belarus","Boys",9.2,136.8
"535","Belarus","Boys",9.4,141.3
"536","Belarus","Boys",5.6,119.4
"537","Belarus","Boys",8.9,138.3
"538","Belarus","Boys",18,174.7
"539","Belarus","Boys",18.8,176.7
"540","Belarus","Boys",18.8,175.2
"541","Belarus","Boys",12.4,161.7
"542","Belarus","Boys",6.9,125.2
"543","Belarus","Boys",15,174.6
"544","Belarus","Boys",17.2,181.8
"545","Belarus","Boys",8.6,133.1
"546","Belarus","Boys",18.8,173.1
"547","Belarus","Boys",16.1,170.7
"548","Belarus","Boys",18.8,170.6
"549","Belarus","Boys",9.4,137.5
"550","Belarus","Boys",10.7,145.6
"551","Belarus","Boys",10.8,147.1
"552","Belarus","Boys",11.7,150.4
"553","Belarus","Boys",7.2,125
"554","Belarus","Boys",16.3,172.7
"555","Belarus","Boys",15.4,179.7
"556","Belarus","Boys",12.9,160.8
"557","Belarus","Boys",6.3,123.1
"558","Belarus","Boys",9.4,139.4
"559","Belarus","Boys",8.1,131.4
"560","Belarus","Boys",11.7,154.9
"561","Belarus","Boys",5.4,117.5
"562","Belarus","Boys",17.6,179.2
"563","Belarus","Boys",7.9,130.7
"564","Belarus","Boys",13.6,162.9
"565","Belarus","Boys",7.3,127.2
"566","Belarus","Boys",17.5,178.9
"567","Belarus","Boys",19,174.1
"568","Belarus","Boys",13.7,171
"569","Belarus","Boys",9.9,138.1
"570","Belarus","Boys",8.5,133.6
"571","Belarus","Boys",15.1,166.7
"572","Belarus","Boys",10,143.6
"573","Belarus","Boys",14.1,162.9
"574","Belarus","Boys",6.6,123.2
"575","Belarus","Boys",11.9,155.6
"576","Belarus","Boys",12.4,153.5
"577","Belarus","Boys",6.2,120.5
"578","Belarus","Boys",10.8,146.2
"579","Belarus","Boys",12.2,158.1
"580","Belarus","Boys",8.9,139.3
"581","Belarus","Boys",11.1,147.1
"582","Belarus","Boys",8.9,139.2
"583","Belarus","Boys",8.8,139.5
"584","Belarus","Boys",12.6,147.8
"585","Belarus","Boys",5.4,118.3
"586","Belarus","Boys",5.3,116.5
"587","Belarus","Boys",17.3,176.8
"588","Belarus","Boys",10.3,143.6
"589","Belarus","Boys",15.3,172.5
"590","Belarus","Boys",10,144.1
"591","Belarus","Boys",7.3,125.1
"592","Belarus","Boys",17.8,175.4
"593","Belarus","Boys",17.1,177.9
"594","Belarus","Boys",9.9,140.8
"595","Belarus","Boys",14.2,169.6
"596","Belarus","Boys",9.8,145.2
"597","Belarus","Boys",10,141.3
"598","Belarus","Boys",11.9,149.8
"599","Belarus","Boys",11.9,151
"600","Belarus","Boys",18,178.1
"601","Belarus","Boys",16.5,168.2
"602","Belarus","Boys",11.5,151.4
"603","Belarus","Boys",7.3,129.1
"604","Belarus","Boys",11.4,153.6
"605","Belarus","Boys",16.5,178.4
"606","Belarus","Boys",12.9,164.1
"607","Belarus","Boys",16.6,166.6
"608","Belarus","Boys",7,126.5
"609","Belarus","Boys",18.5,187
"610","Belarus","Boys",10.8,148.5
"611","Belarus","Boys",18.5,180.9
"612","Belarus","Boys",13.8,172.8
"613","Belarus","Boys",7.6,132.3
"614","Belarus","Boys",10.2,141.2
"615","Belarus","Boys",6.4,123.5
"616","Belarus","Boys",8.4,134.6
"617","Belarus","Boys",16.7,179.1
"618","Belarus","Boys",18.9,179.3
"619","Belarus","Boys",16.1,175.5
"620","Belarus","Boys",10,147.8
"621","Belarus","Boys",18.8,172.8
"622","Belarus","Boys",16.3,175.3
"623","Belarus","Boys",11.5,150.8
"624","Belarus","Boys",10.8,151.2
"625","Belarus","Boys",17.1,173
"626","Belarus","Boys",17.7,170.2
"627","Belarus","Boys",11.3,144.3
"628","Belarus","Boys",16.3,174.3
"629","Belarus","Boys",18.6,179.3
"630","Belarus","Boys",10.3,143.2
"631","Belarus","Boys",18.4,178.6
"632","Belarus","Boys",12.9,162
"633","Belarus","Boys",18,174.5
"634","Belarus","Boys",7.8,133.7
"635","Belarus","Boys",10.8,148.6
"636","Belarus","Boys",13.4,168
"637","Belarus","Boys",8.9,137.7
"638","Belarus","Boys",7.7,132.8
"639","Belarus","Boys",14.2,167.9
"640","Belarus","Boys",6.8,127.8
"641","Belarus","Boys",7.6,131.3
"642","Belarus","Boys",13.7,163
"643","Belarus","Boys",11.6,150.9
"644","Belarus","Boys",5.2,119
"645","Belarus","Boys",19,172.3
"646","Belarus","Boys",11,145.3
"647","Belarus","Boys",8.1,135.2
"648","Belarus","Boys",18.3,178.2
"649","Belarus","Boys",12.1,155.1
"650","Belarus","Boys",12.7,158.5
"651","Belarus","Boys",7.6,130.8
"652","Belarus","Boys",14.4,162.7
"653","Belarus","Boys",7.4,130.9
"654","Belarus","Boys",13.7,161
"655","Belarus","Boys",13,157.6
"656","Belarus","Boys",8.7,136.9
"657","Belarus","Boys",7.6,132.5
"658","Belarus","Boys",11,144.5
"659","Belarus","Boys",14,167.4
"660","Belarus","Boys",8.3,131
"661","Belarus","Boys",11.2,149.8
"662","Belarus","Boys",15.3,173.9
"663","Belarus","Boys",10.8,148.1
"664","Belarus","Boys",15,172.2
"665","Belarus","Boys",6.1,124.2
"666","Belarus","Boys",11.7,155.2
"667","Belarus","Boys",10.1,146.8
"668","Belarus","Boys",15.5,175.9
"669","Belarus","Boys",17,174.6
"670","Belarus","Boys",13.9,165.9
"671","Belarus","Boys",17.5,182
"672","Belarus","Boys",14.9,168.9
"673","Belarus","Boys",6.4,122.8
"674","Belarus","Boys",8.5,131.1
"675","Belarus","Boys",11.1,151.9
"676","Belarus","Boys",10.9,147.2
"677","Belarus","Boys",12.2,153
"678","Belarus","Boys",18,181.7
"679","Belarus","Boys",6.9,124.4
"680","Belarus","Boys",15.9,171.9
"681","Belarus","Boys",13.9,161.1
"682","Belarus","Boys",13.3,161.1
"683","Belarus","Boys",18.2,171.8
"684","Belarus","Boys",6.7,125.2
"685","Belarus","Boys",16.7,178.2
"686","Belarus","Boys",15.8,171.1
"687","Belarus","Boys",6.9,125.5
"688","Belarus","Boys",13.5,159.5
"689","Belarus","Boys",11.7,150.1
"690","Belarus","Boys",6.8,121.8
"691","Belarus","Boys",8,128.9
"692","Belarus","Boys",16.8,168.8
"693","Belarus","Boys",6.4,125.5
"694","Belarus","Boys",9.5,138
"695","Belarus","Boys",5.1,115.5
"696","Belarus","Boys",10.2,145.6
"697","Belarus","Boys",16.8,173.9
"698","Belarus","Boys",11.2,150.1
"699","Belarus","Boys",18.7,174.4
"700","Belarus","Boys",11.9,158.5
"701","Belarus","Boys",13.5,163.8
"702","Belarus","Boys",8.6,141.2
"703","Belarus","Boys",16.6,169.5
"704","Belarus","Boys",16,173
"705","Belarus","Boys",10.7,145.1
"706","Belarus","Boys",15,176.8
"707","Belarus","Boys",11.4,148.3
"708","Belarus","Boys",11,145.3
"709","Belarus","Boys",18.6,172.4
